PSA 10 Title,PSA 10 Price,Raw Price,PSA 9 Price,Multiplier,Potential Profit,ROI %,Search Strategy,Raw Cards Found,PSA 9 Cards Found,PSA 10 Sold Date,Timestamp
"1982 Topps Traded Cal Ripken Jr. #98T",8242.17,118.34,484.98,69.65,8123.83,6864.82,Summary Title,42,46,N/A,2025-08-07T20:09:16.959Z
"Pikachu 1999 Pokemon Jungle 1st Edition #60 Duelist Stamp",538.44,11.74,124.93,45.86,526.7,4486.37,Summary Title,3,24,N/A,2025-08-07T20:08:37.523Z
"2020 Panini Prizm Hyper LeBron James #",446.23,10.44,108.94,42.74,435.79,4174.23,Summary Title,5,10,N/A,2025-08-07T20:07:40.644Z
"2018 Donruss Optic Luka Doncic #177",1630,48.79,152.97,33.41,1581.21,3240.85,Summary Title,55,53,N/A,2025-08-07T20:07:15.434Z
"1995 Flair Basketball Michael Jordan #235",328.38,14.5,47.42,22.65,313.88,2164.69,Summary Title,4,20,N/A,2025-08-07T20:09:18.804Z
"1996 Topps Basketball Kobe Bryant #138",1059.6,48,159.53,22.08,1011.6,2107.5,Summary Title,27,56,N/A,2025-08-07T20:07:55.605Z
"1993 Stadium Club Murphy Derek Jeter #117",764.73,60.07,148.8,12.73,704.66,1173.06,Summary Title,18,123,N/A,2025-08-07T20:07:58.678Z
"2018 Donruss Optic Holo Luka Doncic #177",4743.88,377.77,702,12.56,4366.11,1155.76,Summary Title,1,39,N/A,2025-08-07T20:08:57.209Z
"2018 Donruss Basketball Luka Doncic #177",380.05,33.65,109.17,11.29,346.4,1029.42,Summary Title,15,61,N/A,2025-08-07T20:09:49.677Z
"2018 Hoops Luka Doncic #268",191.3,20.44,52.65,9.36,170.86,835.91,Summary Title,69,54,N/A,2025-08-07T20:10:08.717Z
"2021 Panini Prizm Draft Picks Stained Glass Cade Cunningham # GEM",331.25,43.91,51.3,7.54,287.34,654.38,Parallel Only,7,2,N/A,2025-08-07T20:07:24.822Z
"2020 Panini Mosaic Green Anthony Edwards #261",103.21,13.82,28.4,7.47,89.39,646.82,Summary Title,16,3,N/A,2025-08-07T20:09:54.093Z
"2018 Panini Threads Luka Doncic #141",378.47,74.17,147.87,5.1,304.3,410.27,Summary Title,5,7,N/A,2025-08-07T20:09:51.961Z
"2023 Panini Prizm Silver CJ Stroud #339",540.52,108.69,131.52,4.97,431.83,397.3,Summary Title,12,37,N/A,2025-08-07T20:07:50.313Z
